show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
s1,Movie,Bird Box,Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich",United States,2018,R,124 min,"Horror, Thriller",A woman and two children navigate a post-apocalyptic world blindfolded to survive.
s2,Movie,Extraction,Sam Hargrave,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda",United States,2020,R,116 min,"Action, Thriller",A black-market mercenary's mission becomes a soul-searching race to survive.
s3,Movie,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,2019,R,209 min,"Crime, Drama",An aging hitman recalls his time working for the mob and his involvement with Jimmy Hoffa.
s4,Movie,Marriage Story,Noah Baumbach,"Scarlett Johansson, Adam Driver, Laura Dern",United States,2019,R,137 min,"Drama, Romance",A stage director and his actress wife battle during a coast-to-coast divorce.
s5,Movie,Roma,Alfonso Cuaron,"Yalitza Aparicio, Marina de Tavira",Mexico,2018,R,135 min,Drama,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
s6,Movie,Red Notice,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot",United States,2021,PG-13,118 min,"Action, Comedy",An Interpol agent tracks the world's most wanted art thief.
s7,Movie,Don't Look Up,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep",United States,2021,R,138 min,"Comedy, Drama, Sci-Fi",Two astronomers try to warn humanity about an approaching comet that will destroy Earth.
s8,Movie,The Gray Man,"Anthony Russo, Joe Russo","Ryan Gosling, Chris Evans, Ana de Armas",United States,2022,PG-13,129 min,"Action, Thriller",A CIA operative uncovers agency secrets and becomes the target of an assassin.
s9,Movie,Glass Onion: A Knives Out Mystery,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monae",United States,2022,PG-13,139 min,"Comedy, Mystery",Detective Benoit Blanc travels to Greece to solve a new murder mystery.
s10,Movie,RRR,S. S. Rajamouli,"N. T. Rama Rao Jr., Ram Charan, Alia Bhatt",India,2022,Not Rated,187 min,"Action, Drama",A fictional story about two legendary revolutionaries and their fight against the British Raj.
s11,Movie,The Killer,David Fincher,"Michael Fassbender, Tilda Swinton",United States,2023,R,118 min,"Action, Crime, Thriller","After a fateful near-miss, an assassin battles his employers, and himself."
s12,Movie,Rebel Moon - Part One: A Child of Fire,Zack Snyder,"Sofia Boutella, Ed Skrein, Charlie Hunnam",United States,2023,PG-13,133 min,"Action, Sci-Fi",A peaceful settler-colony on the edge of the galaxy finds itself threatened by an army.
s13,Movie,Leave the World Behind,Sam Esmail,"Julia Roberts, Mahershala Ali, Ethan Hawke",United States,2023,R,138 min,"Drama, Thriller",Two families shelter in a remote rental home as a mysterious cyberattack unfolds.
s14,Movie,Damsel,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone",United States,2024,PG-13,110 min,"Fantasy, Adventure",A young woman's marriage to a charming prince turns into a fight for survival against a dragon.
s15,Movie,Rebel Ridge,Jeremy Saulnier,"Aaron Pierre, Don Johnson, AnnaSophia Robb",United States,2024,R,132 min,"Action, Crime, Drama",A former Marine collides with a corrupt small-town police force.
s16,TV Show,Stranger Things,Not Given,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder",United States,2016,TV-14,4 Seasons,"Sci-Fi, Horror, Drama",A group of kids in a small town uncover supernatural mysteries tied to a secret government lab.
s17,TV Show,Money Heist,Alex Pina,"Ursula Corbero, Alvaro Morte, Itziar Ituno",Spain,2017,TV-MA,5 Seasons,"Crime, Drama, Thriller",A criminal mastermind manipulates hostages while orchestrating an elaborate heist on the Royal Mint.
s18,TV Show,The Crown,Not Given,"Claire Foy, Olivia Colman, Imelda Staunton",United Kingdom,2016,TV-MA,6 Seasons,"Drama, History",Chronicles the reign of Queen Elizabeth II from the 1940s onward.
s19,TV Show,Squid Game,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun",South Korea,2021,TV-MA,2 Seasons,"Thriller, Drama, Survival",Hundreds of cash-strapped players accept an invitation to compete in deadly children's games for a prize.
s20,TV Show,Wednesday,Not Given,"Jenna Ortega, Gwendoline Christie, Emma Myers",United States,2022,TV-14,1 Season,"Comedy, Horror, Mystery",Wednesday Addams navigates her years as a student at Nevermore Academy.
s21,TV Show,The Witcher,Not Given,"Henry Cavill, Anya Chalotra, Freya Allan",United States,2019,TV-MA,3 Seasons,"Fantasy, Action, Drama","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
